,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
0,Alaa Abdelnaby,abdelal01,Career,,,NBA,,256,3200,13.0,.532,.002,.260,10.0,19.6,14.8,4.1,1.1,1.4,15.2,21.6,,0.7,4.1,4.8,.072,,-3.3,-1.5,-4.8,-2.3
2,Kareem Abdul-Jabbar,abdulka01,Career,,,NBA,,1560,57446,24.6,.592,.001,.329,7.7,21.7,15.7,14.6,1.2,3.8,13.4,24.3,,178.9,94.5,273.4,.228,,3.8,2.0,5.8,86.0
3,Mahmoud Abdul-Rauf,abdulma02,Career,,,NBA,,586,15628,15.4,.506,.169,.146,1.5,6.2,3.8,23.0,1.6,0.2,10.2,25.4,,16.7,8.4,25.2,.077,,0.8,-3.0,-2.2,-0.7
4,Tariq Abdul-Wahad,abdulta01,Career,,,NBA,,236,4807,11.4,.467,.044,.306,6.4,11.2,8.8,8.8,1.9,1.2,13.6,20.4,,-0.6,4.1,3.5,.035,,-2.9,-0.3,-3.2,-1.5
5,Shareef Abdur-Rahim,abdursh01,Career,,,NBA,,830,28882,19.0,.549,.045,.429,7.5,17.5,12.5,13.6,1.5,1.6,13.5,25.0,,50.1,21.1,71.2,.118,,1.1,-0.2,0.9,21.1
6,Tom Abernethy,abernto01,Career,,,NBA,,319,5434,12.9,.534,.001,.301,7.3,12.3,9.8,9.0,1.6,0.6,9.3,13.7,,8.4,5.0,13.4,.118,,-0.3,0.2,-0.2,2.5
9,Alex Abrines,abrinal01,Career,,,NBA,,140,2132,9.5,.564,.738,.146,2.1,8.1,5.0,4.5,1.7,0.6,8.1,14.3,,2.4,1.8,4.2,.094,,-0.4,-2.0,-2.4,-0.2
10,Alex Acker,ackeral01,Career,,,NBA,,30,234,8.5,.420,.272,.109,4.3,10.2,7.2,11.3,1.4,1.3,10.2,21.2,,-0.3,0.1,-0.2,-0.043,,-4.6,-2.3,-6.9,-0.3
12,Mark Acres,acresma01,Career,,,NBA,,375,5982,9.0,.551,.013,.456,10.7,17.6,14.1,3.8,1.1,1.0,16.2,10.0,,5.1,4.2,9.3,.075,,-2.0,0.0,-2.0,0.0
14,Quincy Acy,acyqu01,Career,,,NBA,,322,5158,11.3,.553,.380,.296,6.5,18.1,12.3,6.0,1.3,2.0,13.0,14.0,,4.3,4.2,8.4,.079,,-1.8,-0.1,-1.9,0.2
15,Alvan Adams,adamsal01,Career,,,NBA,,988,27203,18.3,.541,.001,.276,8.3,19.7,14.1,21.4,2.2,1.6,17.8,22.0,,29.8,43.6,73.5,.130,,1.4,2.3,3.7,39.3
16,Don Adams,adamsdo01,Career,,,TOT,,523,13474,10.7,.451,.001,.283,6.2,13.8,10.6,10.0,2.1,0.5,16.7,16.9,,-2.8,14.5,11.7,.042,,-2.7,0.9,-1.8,0.3
17,George Adams,adamsge01,Career,,,ABA,,215,3903,14.0,.530,.012,.189,7.4,13.9,10.6,10.8,1.3,1.0,15.8,17.9,,3.6,3.0,6.6,.081,,-0.8,-0.2,-0.9,0.8
18,Hassan Adams,adamsha01,Career,,,NBA,,73,547,11.8,.556,.007,.284,7.8,10.3,9.1,4.4,1.7,0.7,13.5,16.4,,0.3,0.5,0.8,.072,,-3.2,-1.2,-4.4,-0.3
19,Jordan Adams,adamsjo01,Career,,,NBA,,32,263,13.1,.484,.283,.304,3.9,9.1,6.5,11.4,3.8,2.2,13.3,20.9,,-0.1,0.5,0.4,.070,,-1.9,1.4,-0.5,0.1
20,Michael Adams,adamsmi01,Career,,,NBA,,653,20446,16.6,.536,.364,.324,2.1,8.1,5.0,28.2,2.5,0.2,13.5,20.2,,31.6,15.3,46.9,.110,,2.7,-1.2,1.5,18.0
21,Steven Adams,adamsst01,Career,,,NBA,,383,9728,16.3,.595,.002,.452,13.8,16.1,15.0,5.1,1.5,3.2,15.6,14.7,,16.8,12.6,29.3,.145,,0.0,1.5,1.5,8.6
