,Name,link,MVPs,All-Star Games,All-NBA Teams,All-Rookie Team,ROY
0,Alaa Abdelnaby,abdelal01,0,0,0,0,0
1,Zaid Abdul-Aziz,abdulza01,0,0,0,0,0
2,Kareem Abdul-Jabbar,abdulka01,6,19,15,1,1
3,Mahmoud Abdul-Rauf,abdulma02,0,0,0,1,0
4,Tariq Abdul-Wahad,abdulta01,0,0,0,0,0
5,Shareef Abdur-Rahim,abdursh01,0,1,0,1,0
6,Tom Abernethy,abernto01,0,0,0,0,0
7,Forest Able,ablefo01,0,0,0,0,0
8,John Abramovic,abramjo01,0,0,0,0,0
9,Alex Abrines,abrinal01,0,0,0,0,0
10,Alex Acker,ackeral01,0,0,0,0,0
11,Don Ackerman,ackerdo01,0,0,0,0,0
12,Mark Acres,acresma01,0,0,0,0,0
13,Bud Acton,actonbu01,0,0,0,0,0
14,Quincy Acy,acyqu01,0,0,0,0,0
15,Alvan Adams,adamsal01,0,1,0,1,1
16,Don Adams,adamsdo01,0,0,0,0,0
17,George Adams,adamsge01,0,0,0,0,0
18,Hassan Adams,adamsha01,0,0,0,0,0
19,Jordan Adams,adamsjo01,0,0,0,0,0
20,Michael Adams,adamsmi01,0,1,0,0,0
21,Steven Adams,adamsst01,0,0,0,1,0
22,Rafael Addison,addisra01,0,0,0,0,0
23,Bam Adebayo,adebaba01,0,0,0,0,0
24,Rick Adelman,adelmri01,0,0,0,0,0
25,Jeff Adrien,adrieje01,0,0,0,0,0
26,Arron Afflalo,afflaar01,0,0,0,0,0
27,Maurice Ager,agerma01,0,0,0,0,0
28,Mark Aguirre,aguirma01,0,3,0,0,0
29,Blake Ahearn,ahearbl01,0,0,0,0,0
30,Danny Ainge,aingeda01,0,1,0,0,0
31,Matthew Aitch,aitchma01,0,0,0,0,0
32,Alexis Ajinca,ajincal01,0,0,0,0,0
33,Henry Akin,akinhe01,0,0,0,0,0
34,Josh Akognon,akognjo01,0,0,0,0,0
35,Solomon Alabi,alabiso01,0,0,0,0,0
36,Mark Alarie,alarima01,0,0,0,0,0
37,Gary Alcorn,alcorga01,0,0,0,0,0
38,Furkan Aldemir,aldemfu01,0,0,0,0,0
39,Cole Aldrich,aldrico01,0,0,0,0,0
40,LaMarcus Aldridge,aldrila01,0,6,4,1,0
41,Chuck Aleksinas,aleksch01,0,0,0,0,0
42,Cliff Alexander,alexacl01,0,0,0,0,0
43,Cory Alexander,alexaco01,0,0,0,0,0
44,Courtney Alexander,alexaco02,0,0,0,1,0
45,Gary Alexander,alexaga01,0,0,0,0,0
46,Joe Alexander,alexajo01,0,0,0,0,0
47,Victor Alexander,alexavi01,0,0,0,0,0
48,Steve Alford,alforst01,0,0,0,0,0
49,Bill Allen,allenbi01,0,0,0,0,0
50,Bob Allen,allenbo01,0,0,0,0,0
51,Jarrett Allen,allenja01,0,0,0,0,0
52,Jerome Allen,allenje01,0,0,0,0,0
53,Kadeem Allen,allenka01,0,0,0,0,0
54,Lavoy Allen,allenla01,0,0,0,0,0
55,Lucius Allen,allenlu01,0,0,0,0,0
56,Malik Allen,allenma01,0,0,0,0,0
57,Randy Allen,allenra01,0,0,0,0,0
58,Ray Allen,allenra02,0,10,2,1,0
59,Tony Allen,allento01,0,0,0,0,0
60,Willie Allen,allenwi01,0,0,0,0,0
61,Odis Allison,allisod01,0,0,0,0,0
62,Lance Allred,allrela01,0,0,0,0,0
63,Darrell Allums,allumda01,0,0,0,0,0
64,Morris Almond,almonmo01,0,0,0,0,0
65,Derrick Alston,alstode01,0,0,0,0,0
66,Rafer Alston,alstora01,0,0,0,0,0
67,Peter Aluma,alumape01,0,0,0,0,0
68,John Amaechi,amaecjo01,0,0,0,0,0
69,Ashraf Amaya,amayaas01,0,0,0,0,0
70,Al-Farouq Aminu,aminual01,0,0,0,0,0
71,Lou Amundson,amundlo01,0,0,0,0,0
72,Bob Anderegg,anderbo01,0,0,0,0,0
73,Chris Andersen,anderch01,0,0,0,0,0
74,David Andersen,anderda03,0,0,0,0,0
75,Alan Anderson,anderal01,0,0,0,0,0
76,Andrew Anderson,anderan01,0,0,0,0,0
77,Antonio Anderson,anderan02,0,0,0,0,0
78,Cliff Anderson,andercl01,0,0,0,0,0
79,Dan Anderson,anderda01,0,0,0,0,0
80,Dan Anderson,anderda02,0,0,0,0,0
81,Derek Anderson,anderde01,0,0,0,1,0
82,Dwight Anderson,anderdw01,0,0,0,0,0
83,Eric Anderson,anderer01,0,0,0,0,0
84,Greg Anderson,andergr01,0,0,0,1,0
85,J.J. Anderson,anderjj01,0,0,0,0,0
86,James Anderson,anderja01,0,0,0,0,0
87,Jerome Anderson,anderje01,0,0,0,0,0
88,Justin Anderson,anderju01,0,0,0,0,0
89,Kenny Anderson,anderke01,0,1,0,0,0
90,Kim Anderson,anderki01,0,0,0,0,0
91,Kyle Anderson,anderky01,0,0,0,0,0
92,Michael Anderson,andermi01,0,0,0,0,0
93,Nick Anderson,anderni01,0,0,0,0,0
94,Richard Anderson,anderri01,0,0,0,0,0
95,Ron Anderson,anderro01,0,0,0,0,0
96,Ryan Anderson,anderry01,0,0,0,0,0
97,Shandon Anderson,andersh01,0,0,0,0,0
98,Willie Anderson,anderwi01,0,0,0,1,0
99,Wally Anderzunas,anderwa01,0,0,0,0,0
100,Martynas Andriuskevicius,andrima01,0,0,0,0,0
101,Don Anielak,anieldo01,0,0,0,0,0
102,Ike Anigbogu,anigbik01,0,0,0,0,0
103,Michael Ansley,anslemi01,0,0,0,0,0
104,Chris Anstey,anstech01,0,0,0,0,0
105,Giannis Antetokounmpo,antetgi01,0,2,1,1,0
106,Thanasis Antetokounmpo,antetth01,0,0,0,0,0
107,Carmelo Anthony,anthoca01,0,10,6,1,0
108,Greg Anthony,anthogr01,0,0,0,0,0
109,Joel Anthony,anthojo01,0,0,0,0,0
110,Pero Antic,anticpe01,0,0,0,0,0
111,OG Anunoby,anunoog01,0,0,0,0,0
112,Keith Appling,applike01,0,0,0,0,0
113,Rafael Araujo,araujra01,0,0,0,0,0
114,Stacey Arceneaux,arcenst01,0,0,0,0,0
115,Robert Archibald,archiro01,0,0,0,0,0
116,Tiny Archibald,architi01,0,6,5,0,0
117,Ryan Arcidiacono,arcidry01,0,0,0,0,0
118,Jim Ard,ardji01,0,0,0,0,0
119,Gilbert Arenas,arenagi01,0,3,3,0,0
120,Trevor Ariza,arizatr01,0,0,0,0,0
121,Paul Arizin,arizipa01,0,10,4,0,0
122,Joe Arlauckas,arlaujo01,0,0,0,0,0
123,B.J. Armstrong,armstbj01,0,1,0,0,0
124,Bob Armstrong,armstbo01,0,0,0,0,0
125,Brandon Armstrong,armstbr01,0,0,0,0,0
126,Curly Armstrong,armstcu01,0,0,0,0,0
