,Name,link,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Year,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVPs,All-Star Games,All-NBA Teams
0,Alaa Abdelnaby,abdelal01,256,12.5,2.4,4.8,0.502,0.0,0.0,0.0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7,9.7,19.3,0.502,0.0,0.0,0.0,9.7,19.2,0.503,3.5,5.0,0.701,4.4,8.8,13.2,1.3,1.1,1.1,3.8,7.5,22.8,101.0,106.0,Career,NBA,13.0,0.532,0.002,0.26,10.0,19.6,14.8,4.1,1.1,1.4,15.2,21.6,0.7,4.1,4.8,0.07200000000000001,-3.3,-1.5,-4.8,-2.3,0,0,0
1,Mahmoud Abdul-Rauf,abdulma02,586,26.7,6.0,13.6,0.442,0.8,2.3,0.354,5.2,11.3,0.46,0.47200000000000003,1.8,2.0,0.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6,11.2,25.3,0.442,1.5,4.3,0.354,9.7,21.0,0.46,3.3,3.7,0.905,0.7,2.8,3.5,6.6,1.5,0.1,3.1,3.5,27.2,106.0,111.0,Career,NBA,15.4,0.506,0.16899999999999998,0.146,1.5,6.2,3.8,23.0,1.6,0.2,10.2,25.4,16.7,8.4,25.2,0.077,0.8,-3.0,-2.2,-0.7,0,0,0
2,Tariq Abdul-Wahad,abdulta01,236,20.4,3.1,7.3,0.41700000000000004,0.1,0.3,0.237,3.0,7.0,0.425,0.42200000000000004,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8,7.6,18.2,0.41700000000000004,0.2,0.8,0.237,7.4,17.4,0.425,3.9,5.6,0.703,3.0,5.2,8.2,2.8,1.9,0.9,3.3,5.1,19.3,95.0,105.0,Career,NBA,11.4,0.467,0.044000000000000004,0.306,6.4,11.2,8.8,8.8,1.9,1.2,13.6,20.4,-0.6,4.1,3.5,0.035,-2.9,-0.3,-3.2,-1.5,0,0,0
3,Shareef Abdur-Rahim,abdursh01,830,34.8,6.5,13.9,0.47200000000000003,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1,9.9,21.0,0.47200000000000003,0.3,0.9,0.297,9.6,20.1,0.48,7.3,9.0,0.81,3.4,8.0,11.4,3.9,1.5,1.2,3.9,4.2,27.4,108.0,107.0,Career,NBA,19.0,0.5489999999999999,0.045,0.429,7.5,17.5,12.5,13.6,1.5,1.6,13.5,25.0,50.1,21.1,71.2,0.11800000000000001,1.1,-0.2,0.9,21.1,0,1,0
4,Tom Abernethy,abernto01,319,17.0,2.3,4.6,0.49200000000000005,0.0,0.0,0.0,2.3,4.6,0.493,0.49200000000000005,1.0,1.4,0.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6,6.2,12.6,0.49200000000000005,0.0,0.1,0.0,6.2,12.6,0.493,2.8,3.8,0.747,3.2,5.4,8.6,3.3,1.6,0.5,1.1,4.5,15.2,114.0,103.0,Career,NBA,12.9,0.534,0.001,0.301,7.3,12.3,9.8,9.0,1.6,0.6,9.3,13.7,8.4,5.0,13.4,0.11800000000000001,-0.3,0.2,-0.2,2.5,0,0,0
5,Alex Acker,ackeral01,30,7.8,1.1,3.1,0.37,0.3,0.8,0.32,0.9,2.2,0.38799999999999996,0.413,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7,7.7,20.8,0.37,1.8,5.6,0.32,5.9,15.1,0.38799999999999996,1.1,2.3,0.5,2.0,4.5,6.5,3.6,1.4,0.9,2.5,2.9,18.3,88.0,112.0,Career,NBA,8.5,0.42,0.272,0.109,4.3,10.2,7.2,11.3,1.4,1.3,10.2,21.2,-0.3,0.1,-0.2,-0.043,-4.6,-2.3,-6.9,-0.3,0,0,0
6,Mark Acres,acresma01,375,16.0,1.4,2.7,0.506,0.0,0.0,0.5379999999999999,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6,4.1,8.1,0.506,0.1,0.1,0.5379999999999999,4.1,8.0,0.505,2.5,3.7,0.665,4.7,7.6,12.2,1.4,1.1,0.8,1.9,7.5,10.8,113.0,111.0,Career,NBA,9.0,0.551,0.013000000000000001,0.456,10.7,17.6,14.1,3.8,1.1,1.0,16.2,10.0,5.1,4.2,9.3,0.075,-2.0,0.0,-2.0,0.0,0,0,0
7,Quincy Acy,acyqu01,322,16.0,1.7,3.9,0.446,0.5,1.5,0.35,1.2,2.4,0.504,0.512,0.9,1.2,0.762,0.9,2.6,3.5,0.6,0.4,0.4,0.7,2.0,4.9,5.5,12.3,0.446,1.6,4.7,0.35,3.8,7.6,0.504,2.8,3.6,0.762,2.9,8.1,11.0,2.0,1.3,1.2,2.1,6.1,15.3,108.0,109.0,Career,NBA,11.3,0.5529999999999999,0.38,0.29600000000000004,6.5,18.1,12.3,6.0,1.3,2.0,13.0,14.0,4.3,4.2,8.4,0.079,-1.8,-0.1,-1.9,0.2,0,0,0
8,Alvan Adams,adamsal01,988,27.5,5.8,11.6,0.498,0.0,0.0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.7879999999999999,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1,9.7,19.4,0.498,0.0,0.0,0.133,9.7,19.4,0.498,4.2,5.3,0.7879999999999999,3.4,8.3,11.7,6.8,2.2,1.4,3.7,5.4,23.5,105.0,100.0,Career,NBA,18.3,0.541,0.001,0.276,8.3,19.7,14.1,21.4,2.2,1.6,17.8,22.0,29.8,43.6,73.5,0.13,1.4,2.3,3.7,39.3,0,1,0
9,Hassan Adams,adamsha01,73,7.5,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.537,0.534,0.4,0.6,0.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5,7.6,14.2,0.534,0.0,0.1,0.0,7.6,14.1,0.537,2.6,4.0,0.643,3.5,4.6,8.1,1.3,1.7,0.5,2.5,4.9,17.8,104.0,108.0,Career,NBA,11.8,0.556,0.006999999999999999,0.284,7.8,10.3,9.1,4.4,1.7,0.7,13.5,16.4,0.3,0.5,0.8,0.07200000000000001,-3.2,-1.2,-4.4,-0.3,0,0,0
10,Michael Adams,adamsmi01,653,31.3,5.0,12.0,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.8490000000000001,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,7.4,17.9,0.415,2.2,6.5,0.332,5.3,11.4,0.462,4.9,5.8,0.8490000000000001,1.0,3.4,4.3,9.6,2.5,0.2,3.2,2.7,22.0,112.0,110.0,Career,NBA,16.6,0.536,0.364,0.324,2.1,8.1,5.0,28.2,2.5,0.2,13.5,20.2,31.6,15.3,46.9,0.11,2.7,-1.2,1.5,18.0,0,1,0
11,Steven Adams,adamsst01,383,25.4,3.6,6.1,0.585,0.0,0.0,0.0,3.6,6.1,0.5870000000000001,0.585,1.6,2.8,0.568,3.2,3.8,6.9,0.9,0.8,1.0,1.4,2.7,8.7,7.0,12.0,0.585,0.0,0.0,0.0,7.0,12.0,0.5870000000000001,3.1,5.4,0.568,6.2,7.4,13.6,1.7,1.5,2.0,2.7,5.4,17.1,117.0,105.0,Career,NBA,16.3,0.595,0.002,0.452,13.8,16.1,15.0,5.1,1.5,3.2,15.6,14.7,16.8,12.6,29.3,0.145,0.0,1.5,1.5,8.6,0,0,0
12,Rafael Addison,addisra01,379,15.0,2.4,5.4,0.449,0.2,0.6,0.282,2.2,4.8,0.47200000000000003,0.466,0.7,0.9,0.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8,8.1,18.1,0.449,0.6,2.2,0.282,7.5,15.9,0.47200000000000003,2.4,3.2,0.772,2.3,4.6,6.9,3.0,1.3,0.7,2.5,5.9,19.3,102.0,112.0,Career,NBA,10.5,0.496,0.12,0.175,5.2,10.4,7.8,9.1,1.3,1.0,11.4,18.7,1.7,3.2,4.9,0.040999999999999995,-2.5,-1.6,-4.1,-3.0,0,0,0
13,Jeff Adrien,adrieje01,153,14.0,1.7,3.6,0.474,0.0,0.0,0.0,1.7,3.6,0.47600000000000003,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6,6.4,13.5,0.474,0.0,0.0,0.0,6.4,13.4,0.47600000000000003,4.4,7.0,0.628,5.4,10.6,16.0,2.4,1.2,1.9,2.2,6.3,17.2,109.0,108.0,Career,NBA,15.0,0.518,0.004,0.517,11.5,23.9,17.5,7.5,1.2,2.9,11.7,16.3,2.5,1.9,4.4,0.098,-2.4,-0.1,-2.5,-0.3,0,0,0
14,Arron Afflalo,afflaar01,760,27.4,3.9,8.7,0.45,1.1,2.9,0.386,2.8,5.8,0.48100000000000004,0.514,1.8,2.2,0.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8,7.3,16.3,0.45,2.1,5.4,0.386,5.2,10.9,0.48100000000000004,3.4,4.1,0.825,0.8,4.5,5.4,3.4,0.8,0.3,2.1,3.6,20.2,109.0,112.0,Career,NBA,11.9,0.556,0.332,0.253,1.9,10.0,5.9,10.6,0.8,0.5,10.4,17.8,23.8,9.5,33.4,0.077,0.2,-1.3,-1.1,4.5,0,0,0
15,Maurice Ager,agerma01,82,6.2,0.8,2.3,0.33899999999999997,0.1,0.5,0.25,0.6,1.8,0.366,0.368,0.4,0.6,0.5660000000000001,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1,6.7,19.9,0.33899999999999997,1.2,4.6,0.25,5.6,15.2,0.366,3.2,5.6,0.5660000000000001,0.8,4.0,4.8,2.0,0.6,0.6,3.0,6.8,17.8,79.0,111.0,Career,NBA,2.8,0.39799999999999996,0.233,0.28,1.9,8.8,5.4,6.1,0.6,0.9,12.0,22.1,-1.3,0.3,-0.9,-0.08900000000000001,-7.2,-3.2,-10.4,-1.1,0,0,0
16,Mark Aguirre,aguirma01,923,30.0,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4.0,5.4,0.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0,12.7,26.3,0.484,0.7,2.2,0.312,12.1,24.1,0.5,6.5,8.8,0.741,3.0,5.1,8.1,5.1,1.2,0.5,4.1,4.6,32.7,109.0,110.0,Career,NBA,19.0,0.542,0.085,0.33299999999999996,6.9,11.6,9.2,16.9,1.2,0.6,11.9,29.1,46.5,21.3,67.8,0.11699999999999999,2.6,-1.4,1.3,22.7,0,3,0
17,Blake Ahearn,ahearbl01,19,11.9,1.1,4.1,0.273,0.7,2.5,0.298,0.4,1.6,0.233,0.364,1.7,1.7,0.97,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6,4.9,18.1,0.273,3.3,11.1,0.298,1.6,7.1,0.233,7.5,7.8,0.97,0.2,4.9,5.2,5.2,1.6,0.0,5.2,6.4,20.7,89.0,111.0,Career,NBA,7.2,0.48100000000000004,0.61,0.429,0.5,11.2,5.8,15.5,1.7,0.0,19.4,23.6,-0.3,0.1,-0.2,-0.034,-3.5,-3.1,-6.6,-0.3,0,0,0
18,Danny Ainge,aingeda01,1042,26.6,4.5,9.5,0.469,1.0,2.5,0.37799999999999995,3.5,7.0,0.502,0.519,1.6,1.9,0.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5,8.1,17.2,0.469,1.7,4.6,0.37799999999999995,6.3,12.6,0.502,2.9,3.4,0.846,1.2,3.6,4.8,7.3,2.0,0.2,2.7,4.4,20.8,114.0,108.0,Career,NBA,14.7,0.555,0.268,0.2,2.9,8.1,5.6,20.8,2.0,0.3,12.7,18.5,45.7,25.9,71.5,0.124,2.0,-0.7,1.3,23.0,0,1,0
19,Alexis Ajinca,ajincal01,293,13.3,2.2,4.4,0.503,0.0,0.1,0.28600000000000003,2.2,4.2,0.51,0.507,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3,8.5,16.8,0.503,0.2,0.6,0.28600000000000003,8.3,16.3,0.51,3.3,4.1,0.797,4.5,10.5,15.1,1.9,1.3,2.4,3.3,8.7,20.4,104.0,106.0,Career,NBA,14.9,0.546,0.033,0.24600000000000002,9.9,23.5,16.6,5.9,1.3,3.7,14.9,19.3,2.9,4.6,7.5,0.09300000000000001,-2.9,0.4,-2.5,-0.5,0,0,0
20,Josh Akognon,akognjo01,3,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,11.3,22.7,0.5,5.7,11.3,0.5,5.7,11.3,0.5,0.0,0.0,,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,130.0,111.0,Career,NBA,15.3,0.625,0.5,0.0,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.196,4.7,-4.9,-0.2,0.0,0,0,0
