,Name,Draft_Pick
0,Alaa Abdelnaby,25
1,Zaid Abdul-Aziz,5
2,Kareem Abdul-Jabbar,1
3,Mahmoud Abdul-Rauf,3
4,Tariq Abdul-Wahad,11
5,Shareef Abdur-Rahim,3
6,Tom Abernethy,43
7,Forest Able,
8,John Abramovic,
9,Alex Abrines,32
10,Alex Acker,60
11,Don Ackerman,
12,Mark Acres,40
13,Bud Acton,
14,Quincy Acy,37
15,Alvan Adams,4
16,Don Adams,20
17,George Adams,46
18,Hassan Adams,54
19,Jordan Adams,22
20,Michael Adams,66
21,Steven Adams,12
22,Rafael Addison,39
23,Bam Adebayo,14
24,Rick Adelman,79
25,Jeff Adrien,
26,Arron Afflalo,27
27,Maurice Ager,28
28,Mark Aguirre,1
29,Blake Ahearn,
30,Danny Ainge,31
31,Matthew Aitch,35
32,Alexis Ajinca,20
33,Henry Akin,11
34,Josh Akognon,
35,Solomon Alabi,50
36,Mark Alarie,18
37,Gary Alcorn,16
38,Furkan Aldemir,53
39,Cole Aldrich,11
40,LaMarcus Aldridge,2
41,Chuck Aleksinas,76
42,Cliff Alexander,
43,Cory Alexander,29
44,Courtney Alexander,13
45,Gary Alexander,
46,Joe Alexander,8
47,Victor Alexander,17
48,Steve Alford,26
49,Bill Allen,
50,Bob Allen,71
51,Jarrett Allen,22
52,Jerome Allen,49
53,Kadeem Allen,53
54,Lavoy Allen,50
55,Lucius Allen,3
56,Malik Allen,
57,Randy Allen,
58,Ray Allen,5
59,Tony Allen,25
60,Willie Allen,60
61,Odis Allison,76
62,Lance Allred,
63,Darrell Allums,03
64,Morris Almond,25
65,Derrick Alston,33
66,Rafer Alston,39
67,Peter Aluma,
68,John Amaechi,
69,Ashraf Amaya,
70,Al-Farouq Aminu,8
71,Lou Amundson,
72,Bob Anderegg,20
73,Chris Andersen,
74,David Andersen,37
75,Alan Anderson,
76,Andrew Anderson,88
77,Antonio Anderson,
78,Cliff Anderson,35
79,Dan Anderson,89
80,Dan Anderson,92
81,Derek Anderson,13
82,Dwight Anderson,41
83,Eric Anderson,
84,Greg Anderson,23
85,J.J. Anderson,36
86,James Anderson,20
87,Jerome Anderson,53
88,Justin Anderson,21
89,Kenny Anderson,2
90,Kim Anderson,28
91,Kyle Anderson,30
92,Michael Anderson,73
93,Nick Anderson,11
94,Richard Anderson,32
95,Ron Anderson,27
96,Ryan Anderson,21
97,Shandon Anderson,54
98,Willie Anderson,10
99,Wally Anderzunas,70
100,Martynas Andriuskevicius,44
101,Don Anielak,26
102,Ike Anigbogu,47
103,Michael Ansley,37
104,Chris Anstey,18
105,Giannis Antetokounmpo,15
106,Thanasis Antetokounmpo,51
107,Carmelo Anthony,3
108,Greg Anthony,12
109,Joel Anthony,
110,Pero Antic,
111,OG Anunoby,23
112,Keith Appling,
113,Rafael Araujo,8
114,Stacey Arceneaux,
115,Robert Archibald,32
116,Tiny Archibald,19
117,Ryan Arcidiacono,
118,Jim Ard,6
119,Gilbert Arenas,31
120,Trevor Ariza,43
121,Paul Arizin,
122,Joe Arlauckas,74
123,B.J. Armstrong,18
124,Bob Armstrong,
125,Brandon Armstrong,23
126,Curly Armstrong,
127,Darrell Armstrong,
128,Hilton Armstrong,12
129,Tate Armstrong,13
130,Jesse Arnelle,13
131,Jay Arnette,9
132,Bob Arnzen,03
133,Carlos Arroyo,
134,Darrell Arthur,27
135,John Arthurs,73
136,Jamel Artis,
137,Omer Asik,36
138,Vincent Askew,39
139,Keith Askins,
140,Don Asmonga,
141,Dick Atha,
142,Chucky Atkins,
143,Al Attles,39
144,Chet Aubuchon,
145,Stacey Augmon,9
146,D.J. Augustin,9
147,James Augustine,41
148,Isaac Austin,48
149,Johnny Austin,38
150,Ken Austin,01
151,Anthony Avent,15
152,Bird Averitt,
153,William Avery,14
154,Dennis Awtrey,46
155,Gustavo Ayon,
156,Jeff Ayres,31
157,Kelenna Azubuike,
158,Chris Babb,
159,Luke Babbitt,16
160,Milos Babic,50
161,Johnny Bach,
162,Dwayne Bacon,40
163,Henry Bacon,93
164,Jim Baechtold,2
165,Dalibor Bagaric,24
166,John Bagley,12
167,Carl Bailey,66
168,Gus Bailey,23
169,James Bailey,6
170,Thurl Bailey,7
171,Toby Bailey,45
172,Cameron Bairstow,49
173,Jimmie Baker,39
174,LaMark Baker,
175,Maurice Baker,
176,Norm Baker,
177,Ron Baker,
178,Vin Baker,8
179,Wade Baldwin,17
180,Renaldo Balkman,20
181,Cedric Ball,
182,Lonzo Ball,2
183,Greg Ballard,4
184,Herschel Baltimore,
185,Gene Banks,28
186,Marcus Banks,13
187,Walker Banks,53
188,Ken Bannister,56
189,Mike Bantom,8
190,John Barber,
191,Leandro Barbosa,28
192,Steve Bardo,41
193,J.J. Barea,
194,Andrea Bargnani,1
195,Cliff Barker,
196,Tom Barker,53
197,Charles Barkley,5
198,Erick Barkley,28
199,Don Barksdale,
200,Harrison Barnes,7
201,Harry Barnes,37
202,Jim Barnes,1
203,Marvin Barnes,2
204,Matt Barnes,46
205,Dick Barnett,4
206,Jim Barnett,8
207,Nathaniel Barnett,19
208,John Barnhill,77
209,Norton Barnhill,34
210,Leo Barnhorst,
211,John Barr,
212,Mike Barr,80
213,Moe Barr,
214,Andre Barrett,
215,Ernie Barrett,7
216,Mike Barrett,
217,Earl Barron,
218,Dana Barros,16
219,Brent Barry,15
220,Drew Barry,57
221,Jon Barry,21
222,Rick Barry,2
223,Ed Bartels,
224,Vic Bartolome,87
225,Will Barton,40
226,Eddie Basden,
227,Jerry Baskerville,
228,Brandon Bass,33
229,Tim Bassett,06
230,Maceo Baston,58
231,Mengke Bateer,
232,Billy Ray Bates,47
233,Esteban Batista,
234,Mike Batiste,
235,Tony Battie,5
236,Shane Battier,6
237,John Battle,84
238,Kenny Battle,27
239,Dave Batton,62
240,Lloyd Batts,60
241,Nicolas Batum,25
242,Johnny Baum,87
243,Frankie Baumholtz,
244,Lonny Baxter,44
245,Jerryd Bayless,11
246,Elgin Baylor,1
247,Howard Bayne,07
248,Aron Baynes,
249,Sergei Bazarevich,
250,Kent Bazemore,
251,Ed Beach,
252,Bradley Beal,3
253,Al Beard,
254,Butch Beard,10
255,Ralph Beard,
256,Charles Beasley,74
257,Jerome Beasley,33
258,John Beasley,45
259,Malik Beasley,19
260,Michael Beasley,2
261,Zelmo Beaty,3
262,Rodrigue Beaubois,25
263,Byron Beck,15
264,Corey Beck,
265,Ernie Beck,
266,Arthur Becker,22
267,Moe Becker,
268,Bob Bedell,90
269,William Bedford,6
270,Hank Beenders,
271,Ron Behagen,7
272,Elmer Behnke,37
273,Marco Belinelli,18
274,Charlie Bell,
275,Dennis Bell,83
276,Jordan Bell,38
277,Raja Bell,
278,Troy Bell,16
279,Whitey Bell,
280,Walt Bellamy,1
281,DeAndre' Bembry,21
282,Irv Bemoras,
283,Leon Benbow,27
284,Dragan Bender,4
285,Jonathan Bender,5
286,Jerrelle Benimon,
287,Benoit Benjamin,3
288,Corey Benjamin,28
289,Anthony Bennett,1
290,Elmer Bennett,38
291,Mario Bennett,27
292,Mel Bennett,
293,Spider Bennett,
294,Tony Bennett,35
295,Winston Bennett,64
296,David Benoit,
297,Keith Benson,48
298,Kent Benson,1
299,Ben Bentil,51
300,Gene Berce,
301,Gary Bergen,
302,Larry Bergh,46
303,Ricky Berry,18
304,Walter Berry,14
305,Davis Bertans,42
306,Del Beshore,
307,Travis Best,23
308,Patrick Beverley,42
309,Sim Bhullar,
310,Wesley Bialosuknia,37
311,Al Bianchi,18
312,Hank Biasatti,
313,Henry Bibby,58
314,Mike Bibby,2
315,Ed Biedenbach,96
316,Andris Biedrins,11
317,Don Bielke,67
318,Bob Bigelow,13
319,Lionel Billingy,72
320,Chauncey Billups,3
321,Dave Bing,2
322,Joe Binion,57
323,Khem Birch,
324,Jabari Bird,56
325,Jerry Bird,
326,Larry Bird,6
327,Otis Birdsong,2
328,Gale Bishop,
329,Bismack Biyombo,7
330,Nemanja Bjelica,35
331,Uwe Blab,17
332,Charlie Black,
333,Norman Black,
334,Tarik Black,
335,Tom Black,72
336,Rolando Blackman,9
337,Alex Blackwell,
338,Cory Blackwell,28
339,James Blackwell,
340,Nate Blackwell,27
341,DeJuan Blair,37
342,Steve Blake,38
343,Antonio Blakeney,
344,Will Blalock,60
345,George Blaney,33
346,Lance Blanks,26
347,Ricky Blanton,46
348,Andray Blatche,49
349,Mookie Blaylock,12
350,Eric Bledsoe,18
351,Leon Blevins,
352,John Block,27
353,Mike Bloom,
354,Corie Blount,25
355,Mark Blount,54
356,Vander Blue,
357,Ray Blume,36
358,Nelson Bobb,
359,Tony Bobbitt,
360,Bucky Bockhorn,17
361,Tom Boerwinkle,4
362,Keith Bogans,43
363,Bogdan Bogdanovic,27
364,Bojan Bogdanovic,31
365,Muggsy Bogues,12
366,Andrew Bogut,1
367,Etdrick Bohannon,
368,Manute Bol,97
369,Bill Bolger,
370,Joel Bolomboy,52
371,Doug Bolstorff,57
372,George Bon Salle,7
373,Phil Bond,62
374,Walter Bond,
375,Dexter Boney,
376,Ron Bonham,16
377,Anthony Bonner,23
378,Matt Bonner,45
379,Butch Booker,
380,Devin Booker,13
381,Melvin Booker,
382,Trevor Booker,23
383,Josh Boone,23
384,Ron Boone,47
385,Calvin Booth,35
386,Keith Booth,28
387,Bob Boozer,1
388,Carlos Boozer,35
389,Curtis Borchardt,18
390,Jake Bornheimer,
391,Lazaro Borrell,
392,Ike Borsavage,
393,Vince Boryla,
394,Chris Bosh,4
395,Jim Bostic,39
396,Lawrence Boston,81
397,Tom Boswell,17
398,Chris Boucher,
399,Ruben Boumtje-Boumtje,50
400,Don Boven,
401,Cal Bowdler,17
402,Bruce Bowen,
403,Ryan Bowen,55
404,Tommie Bowens,
405,Anthony Bowie,66
406,Sam Bowie,2
407,Orbie Bowling,76
408,Ira Bowman,
409,Nate Bowman,7
410,Donnie Boyce,42
411,Dennis Boyd,72
412,Freddie Boyd,5
413,Ken Boyd,54
414,Earl Boykins,
415,Harry Boykoff,
416,Winford Boynes,13
417,Cedric Bozeman,
418,Steve Bracey,21
419,Craig Brackins,21
420,Gary Bradds,3
421,Alex Bradley,86
422,Alonzo Bradley,29
423,Avery Bradley,19
424,Bill Bradley,
425,Bill Bradley,
426,Charles Bradley,23
427,Dudley Bradley,13
428,Jim Bradley,48
429,Joe Bradley,
430,Michael Bradley,17
431,Shawn Bradley,2
432,Tony Bradley,28
433,Mark Bradtke,
434,Marques Bragg,
435,Torraye Braggs,57
436,A.J. Bramlett,39
437,Adrian Branch,46
438,Elton Brand,1
