,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
0,Alaa Abdelnaby,abdelal01,1990-91,22,POR,NBA,PF,43,0,290,9.1,19.1,.474,0.0,0.0,,9.1,19.1,.474,4.1,7.2,.568,4.4,10.2,14.7,2.0,0.7,2.0,3.6,6.4,22.2,,99,103
2,Kareem Abdul-Jabbar,abdulka01,1973-74,26,MIL,NBA,C,81,,3548,12.2,22.6,.539,,,,12.2,22.6,.539,3.8,5.4,.702,3.7,11.4,15.1,5.0,1.4,3.6,,3.1,28.1,,,89
3,Mahmoud Abdul-Rauf,abdulma02,1990-91,21,DEN,NBA,PG,67,19,1505,11.7,28.3,.413,0.7,2.8,.240,11.0,25.5,.432,2.4,2.7,.857,1.0,2.4,3.4,5.8,1.5,0.1,3.1,4.2,26.4,,96,118
4,Tariq Abdul-Wahad,abdulta01,1997-98,23,SAC,NBA,SG,59,16,959,7.8,19.4,.403,0.2,1.0,.211,7.6,18.4,.414,4.6,6.8,.672,2.4,3.9,6.3,2.8,1.9,0.7,3.5,4.4,20.4,,91,108
5,Shareef Abdur-Rahim,abdursh01,1996-97,20,VAN,NBA,PF,80,71,2802,10.7,23.5,.453,0.1,0.5,.259,10.5,23.0,.457,7.5,10.1,.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,,102,112
6,Tom Abernethy,abernto01,1976-77,22,LAL,NBA,SF,70,,1378,5.6,11.6,.484,,,,5.6,11.6,.484,3.4,4.5,.754,3.8,5.9,9.7,3.3,1.6,0.3,,3.9,14.6,,,100
9,Alex Abrines,abrinal01,2016-17,23,OKC,NBA,SG,68,6,1055,6.2,15.9,.393,4.4,11.5,.381,1.9,4.4,.426,2.0,2.3,.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,,113,110
10,Alex Acker,ackeral01,2005-06,23,DET,NBA,SG,5,0,35,6.3,25.3,.250,1.6,7.9,.200,4.7,17.4,.273,0.0,0.0,,1.6,6.3,7.9,6.3,1.6,0.0,6.3,6.3,14.2,,61,105
12,Mark Acres,acresma01,1987-88,25,BOS,NBA,C,79,5,1151,4.6,8.6,.532,0.0,0.0,,4.6,8.6,.532,3.0,4.7,.640,4.5,7.0,11.5,1.8,1.2,1.1,2.3,8.4,12.2,,113,109
14,Quincy Acy,acyqu01,2012-13,22,TOR,NBA,PF,29,0,342,6.5,11.6,.560,0.2,0.3,.500,6.4,11.3,.562,4.8,5.9,.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,,120,105
