,Name,link,Year,Age,Position,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Team,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ROY,All-Rookie Team,Draft_Pick
0,Alaa Abdelnaby,abdelal01,1990-91,22.0,PF,43,6.7,1.3,2.7,0.474,0.0,0.0,,1.3,2.7,0.474,0.474,0.6,1.0,0.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1,9.1,19.1,0.474,0.0,0.0,,9.1,19.1,0.474,4.1,7.2,0.568,4.4,10.2,14.7,2.0,0.7,2.0,3.6,6.4,22.2,99.0,103.0,POR,NBA,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,0.079,-4.2,-0.7,-5.0,-0.2,0,0,25.0
1,Mahmoud Abdul-Rauf,abdulma02,1990-91,21.0,PG,67,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.43200000000000005,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,11.7,28.3,0.413,0.7,2.8,0.24,11.0,25.5,0.43200000000000005,2.4,2.7,0.857,1.0,2.4,3.4,5.8,1.5,0.1,3.1,4.2,26.4,96.0,118.0,DEN,NBA,12.2,0.44799999999999995,0.099,0.09699999999999999,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1.0,-0.031,-1.7,-4.4,-6.1,-1.6,0,1,3.0
2,Tariq Abdul-Wahad,abdulta01,1997-98,23.0,SG,59,16.3,2.4,6.1,0.40299999999999997,0.1,0.3,0.21100000000000002,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2.0,0.9,0.6,0.2,1.1,1.4,6.4,7.8,19.4,0.40299999999999997,0.2,1.0,0.21100000000000002,7.6,18.4,0.414,4.6,6.8,0.672,2.4,3.9,6.3,2.8,1.9,0.7,3.5,4.4,20.4,91.0,108.0,SAC,NBA,10.1,0.456,0.053,0.35,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-4.2,-1.7,-5.9,-0.9,0,0,11.0
3,Shareef Abdur-Rahim,abdursh01,1996-97,20.0,PF,80,35.0,6.9,15.2,0.45299999999999996,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7,10.7,23.5,0.45299999999999996,0.1,0.5,0.259,10.5,23.0,0.457,7.5,10.1,0.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,102.0,112.0,VAN,NBA,17.4,0.518,0.022000000000000002,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,-0.8,-1.2,-2.0,0.0,0,1,3.0
4,Tom Abernethy,abernto01,1976-77,22.0,SF,70,19.7,2.4,5.0,0.484,,,,2.4,5.0,0.484,0.484,1.4,1.9,0.754,1.6,2.5,4.2,1.4,0.7,0.1,,1.7,6.3,5.6,11.6,0.484,,,,5.6,11.6,0.484,3.4,4.5,0.754,3.8,5.9,9.7,3.3,1.6,0.3,,3.9,14.6,,100.0,LAL,NBA,12.7,0.5379999999999999,,0.384,8.5,12.9,10.8,8.9,1.6,0.4,,,1.8,1.3,3.1,0.11,-0.7,0.3,-0.4,0.5,0,0,43.0
5,Alex Acker,ackeral01,2005-06,23.0,SG,5,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.6,2.2,0.273,0.281,0.0,0.0,,0.2,0.8,1.0,0.8,0.2,0.0,0.8,0.8,1.8,6.3,25.3,0.25,1.6,7.9,0.2,4.7,17.4,0.273,0.0,0.0,,1.6,6.3,7.9,6.3,1.6,0.0,6.3,6.3,14.2,61.0,105.0,DET,NBA,-2.4,0.281,0.313,0.0,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,-0.2,0.0,-0.2,-0.23,-10.4,-1.9,-12.3,-0.1,0,0,60.0
6,Mark Acres,acresma01,1987-88,25.0,C,79,14.6,1.4,2.6,0.532,0.0,0.0,,1.4,2.6,0.532,0.532,0.9,1.4,0.64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6,4.6,8.6,0.532,0.0,0.0,,4.6,8.6,0.532,3.0,4.7,0.64,4.5,7.0,11.5,1.8,1.2,1.1,2.3,8.4,12.2,113.0,109.0,BOS,NBA,9.3,0.57,0.0,0.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,1.1,1.0,2.2,0.09,-1.0,0.0,-1.0,0.3,0,0,40.0
7,Quincy Acy,acyqu01,2012-13,22.0,PF,29,11.8,1.4,2.6,0.56,0.0,0.1,0.5,1.4,2.5,0.562,0.5670000000000001,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,6.5,11.6,0.56,0.2,0.3,0.5,6.4,11.3,0.562,4.8,5.9,0.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,120.0,105.0,TOR,NBA,15.9,0.632,0.027000000000000003,0.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-0.6,1.3,0.7,0.2,0,0,37.0
8,Alvan Adams,adamsal01,1975-76,21.0,C,80,33.2,7.9,16.8,0.469,,,,7.9,16.8,0.469,0.469,3.3,4.4,0.735,2.7,6.4,9.1,5.6,1.5,1.5,,3.4,19.0,10.8,22.9,0.469,,,,10.8,22.9,0.469,4.5,6.1,0.735,3.7,8.8,12.4,7.7,2.1,2.0,,4.7,26.0,,95.0,PHO,NBA,21.7,0.507,,0.265,8.9,20.7,14.9,27.2,2.1,2.4,,,3.3,3.9,7.2,0.13,4.3,2.4,6.7,5.8,1,1,4.0
9,Hassan Adams,adamsha01,2006-07,22.0,SG,61,8.1,1.2,2.2,0.556,0.0,0.0,0.0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,8.0,14.3,0.556,0.0,0.1,0.0,8.0,14.2,0.56,2.5,3.8,0.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,109.0,107.0,NJN,NBA,13.0,0.5770000000000001,0.006999999999999999,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1.0,0.095,-2.4,-1.2,-3.6,-0.2,0,0,54.0
