,Name,Age_x,Position_x,Games Played_x,Games Started_x,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,TotalMin_x,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36,Games Started,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Percent_Games_Started,All-Rookie Team,ROY
0,A.C. Green,22,PF,82,1,18.8,2.5,4.7,0.539,0,0.1,0.167,2.5,4.7,0.545,0.54,1.2,2,0.611,2,2.7,4.6,0.7,0.6,0.6,1.2,2.8,6.4,1542,4.9,9.1,0.539,0,0.1,0.167,4.9,8.9,0.545,2.4,3.9,0.611,3.7,5.2,8.9,1.3,1.1,1.1,2.3,5.3,12.2,1,6.3,11.8,0.539,0,0.2,0.167,6.3,11.6,0.545,3.1,5.1,0.611,4.8,6.7,11.5,1.6,1.5,1.5,3,6.9,15.8,108,105,1542,11.8,0.564,0.015,0.43,12.4,15.5,14,4.2,1.5,1.7,17.7,14.7,1.4,2,3.3,0.103,-0.5,0.8,0.3,0.9,0.012195122,0,0
1,A.J. Bramlett,23,C,8,0,7.6,0.5,2.6,0.19,0,0,,0.5,2.6,0.19,0.19,0,0,,1.5,1.3,2.8,0,0.1,0,0.4,1.6,1,61,2.4,12.4,0.19,0,0,,2.4,12.4,0.19,0,0,,7.1,5.9,13,0,0.6,0,1.8,7.7,4.7,0,3.3,17.3,0.19,0,0,,3.3,17.3,0.19,0,0,,9.9,8.2,18.1,0,0.8,0,2.5,10.7,6.6,64,106,61,-0.4,0.19,0,0,21.7,18.5,20.1,0,0.8,0,12.5,17.1,-0.2,0.1,-0.2,-0.129,-10.5,-6.3,-16.8,-0.2,0,0,0
2,A.J. English,23,SG,70,12,20.6,3.6,8.2,0.439,0,0.4,0.097,3.5,7.7,0.458,0.441,1.6,2.2,0.707,0.9,1.2,2.1,2.5,0.4,0.2,1.6,1.8,8.8,1443,6.3,14.3,0.439,0.1,0.8,0.097,6.2,13.5,0.458,2.8,3.9,0.707,1.6,2,3.7,4.4,0.6,0.4,2.8,3.2,15.4,12,8.6,19.5,0.439,0.1,1.1,0.097,8.5,18.4,0.458,3.8,5.4,0.707,2.3,2.8,5,6,0.9,0.5,3.9,4.3,21,97,113,1443,10.6,0.48,0.054,0.274,5,6.2,5.6,18,0.9,0.6,15.1,21.8,-0.5,0.7,0.2,0.008,-2.5,-2.3,-4.8,-1,0.171428571,0,0
3,A.J. Guyton,22,PG,33,8,19.1,2.4,5.8,0.406,0.8,2.1,0.391,1.5,3.7,0.415,0.477,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.3,0.2,0.7,1.1,6,630,4.5,11,0.406,1.5,3.9,0.391,2.9,7,0.415,0.9,1,0.833,0.6,1.5,2.1,3.7,0.5,0.3,1.4,2,11.3,8,6.7,16.4,0.406,2.3,5.9,0.391,4.4,10.5,0.415,1.3,1.5,0.833,0.9,2.2,3.1,5.5,0.8,0.4,2,3,16.9,101,113,630,10.3,0.495,0.359,0.094,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,0.4,-0.1,0.3,0.02,-1.5,-4.4,-5.9,-0.6,0.242424242,0,0
4,A.J. Hammons,24,C,22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0,0.6,0.5,1,2.2,163,3.8,9.3,0.405,1.1,2.2,0.5,2.7,7.1,0.375,2,4.4,0.45,1.8,6.2,8,0.9,0.2,2.9,2.2,4.6,10.6,0,5.4,13.4,0.405,1.6,3.2,0.5,3.8,10.2,0.375,2.9,6.4,0.45,2.6,8.9,11.5,1.3,0.3,4.2,3.2,6.7,15.3,87,106,163,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-7.5,2,-5.6,-0.1,0,0,0
5,A.J. Price,23,PG,56,2,15.4,2.6,6.3,0.41,1.1,3.1,0.345,1.5,3.2,0.472,0.494,1.1,1.3,0.8,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3,865,6,14.7,0.41,2.5,7.2,0.345,3.5,7.5,0.472,2.5,3.1,0.8,0.5,3.2,3.7,4.4,1.5,0.1,2.5,2.2,17.1,2,8.3,20.2,0.41,3.4,9.9,0.345,4.9,10.3,0.472,3.4,4.3,0.8,0.7,4.3,5,6.1,2,0.2,3.4,3,23.4,102,108,865,14,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2,0.2,13.2,22.7,0.4,0.8,1.2,0.065,0.2,-2,-1.8,0,0.035714286,0,0
6,A.J. Wynder,26,PG,6,0,6.5,0.5,2,0.25,0,0.2,0,0.5,1.8,0.273,0.25,1,1.3,0.75,0.2,0.3,0.5,1.3,0.2,0,0.7,0.2,2,39,2.8,11.1,0.25,0,0.9,0,2.8,10.2,0.273,5.5,7.4,0.75,0.9,1.8,2.8,7.4,0.9,0,3.7,0.9,11.1,0,3.8,15,0.25,0,1.3,0,3.8,13.8,0.273,7.5,10,0.75,1.3,2.5,3.8,10,1.3,0,5,1.3,15,87,112,39,7.6,0.387,0.083,0.667,3.1,5.2,4.2,24,1.3,0,20.5,21.1,-0.1,0,0,-0.051,-5.9,-3.5,-9.4,-0.1,0,0,0
7,Aaron Brooks,23,PG,51,0,11.9,1.8,4.4,0.413,0.7,2.1,0.33,1.1,2.3,0.491,0.493,0.8,1,0.857,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2,608,5.5,13.3,0.413,2.1,6.5,0.33,3.4,6.9,0.491,2.5,2.9,0.857,0.8,2.5,3.3,5.2,0.8,0.3,2.6,4.1,15.6,0,8.1,19.7,0.413,3.1,9.5,0.33,5,10.1,0.491,3.7,4.3,0.857,1.1,3.8,4.9,7.6,1.1,0.4,3.8,6,23.1,107,106,608,13.1,0.535,0.484,0.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,0.112,0,-1.8,-1.8,0,0,0,0
8,Aaron Gordon,19,PF,47,8,17,2,4.4,0.447,0.3,1,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2,797,4.2,9.4,0.447,0.6,2.2,0.271,3.6,7.2,0.5,2,2.8,0.721,2.1,5.6,7.6,1.5,0.9,1,1.7,3.7,11,8,6,13.3,0.447,0.8,3.1,0.271,5.1,10.3,0.5,2.8,3.9,0.721,3,7.9,10.8,2.1,1.3,1.4,2.4,5.3,15.6,101,107,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-2.8,-0.2,0.170212766,0,0
9,Aaron Gray,23,C,61,1,10,1.7,3.3,0.505,0,0,0,1.7,3.3,0.507,0.505,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,613,6,12,0.505,0,0.1,0,6,11.9,0.507,3.3,5.8,0.566,4.1,5.8,9.9,2.4,1.2,0.9,3.3,6.9,15.4,1,8.7,17.2,0.505,0,0.1,0,8.7,17.1,0.507,4.7,8.3,0.566,5.9,8.2,14.1,3.5,1.8,1.3,4.8,9.8,22,100,105,613,13.9,0.529,0.005,0.485,12.5,18.7,15.5,11.4,1.8,2,18.7,22,0.1,0.8,0.8,0.066,-2.4,0.4,-2,0,0.016393443,0,0
